,index,book_title,author_id,Year released,Rating,ratings
78,388,"Beastly (Beastly, #1; Kendra Chronicles, #1)",195.0,2007,3.83,174950.0
79,389,"Marrying Winterborne (The Ravenels, #2)",68.0,2016,4.11,35087.0
80,390,"The Dating Plan (Marriage Game, #2)",196.0,2021,3.66,34929.0
81,392,"Dreaming of You (The Gamblers of Craven's, #2)",68.0,1994,4.18,40674.0
82,393,"Crescendo (Hush, Hush, #2)",65.0,2010,4.0,307676.0
83,394,"A Kingdom of Dreams (Westmoreland, #1)",198.0,1989,4.21,50780.0
84,395,"Devil in Spring (The Ravenels, #3)",68.0,2017,4.09,34046.0
85,396,Nights in Rodanthe (Paperback),14.0,2002,3.84,164417.0
86,397,"Dance Upon the Air (Three Sisters Island, #1)",93.0,2001,4.2,68172.0
87,398,"The Distance Between Us (Old Town Shops, #1)",199.0,2013,3.92,75238.0
88,400,"Lover Avenged (Black Dagger Brotherhood, #7)",42.0,2009,4.36,111849.0
89,401,"The Wedding Party (The Wedding Date, #3)",38.0,2019,3.78,44329.0
90,402,Love Lettering (Paperback),200.0,2019,3.7,39426.0
91,403,"Dash & Lily's Book of Dares (Dash & Lily, #1)",201.0,2010,3.76,90591.0
92,404,"A Night to Surrender (Spindle Cove, #1)",72.0,2011,3.75,24837.0
93,405,The Bookish Life of Nina Hill (Kindle Edition),202.0,2019,3.82,87372.0
94,406,"Below Zero (The STEMinist Novellas, #3)",8.0,2022,3.71,38828.0
95,407,"Born in Fire (Born In Trilogy, #1)",93.0,1994,4.22,71920.0
96,408,"Fantasy Lover (Hunter Legends, #1)",203.0,2002,4.15,90374.0
97,409,"Living Dead in Dallas (Sookie Stackhouse, #2)",99.0,2002,3.96,245842.0
98,410,"Spirit Bound (Vampire Academy, #5)",86.0,2010,4.33,281912.0
99,411,"Beautiful Stranger (Beautiful Bastard, #2)",9.0,2013,4.16,86066.0
100,412,The Undomestic Goddess (Paperback),85.0,2005,3.85,282087.0
101,413,"The Lady's Guide to Celestial Mechanics (Feminine Pursuits, #1)",204.0,2019,4.04,9945.0
102,414,To Kill a Kingdom (Hardcover),300.0,2018,3.8,136587.0
103,415,"The Coincidence of Callie & Kayden (The Coincidence, #1)",206.0,2012,4.17,114624.0
104,416,To Kill a Kingdom (Hardcover),205.0,2018,3.8,136587.0
105,418,"The Iron King (The Iron Fey, #1)",207.0,2010,3.88,207758.0
106,419,Dial A for Aunties (Aunties #1),208.0,2021,3.76,58738.0
